376,smss.exe,0x7ff68e790000,0x29000,smss.exe,\SystemRoot\System32\smss.exe,7/18/2022,11:09:55 PM,Disabled
376,smss.exe,0x7ffb4b7e0000,0x209000,-,-,7/18/2022,11:09:55 PM,Disabled
496,csrss.exe,0x7ff723470000,0x7000,csrss.exe,C:\Windows\system32\csrss.exe,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb4b7e0000,0x209000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48ca0000,0x19000,CSRSRV.dll,C:\Windows\SYSTEM32\CSRSRV.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48c80000,0x16000,basesrv.DLL,C:\Windows\system32\basesrv.DLL,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48c60000,0x15000,winsrv.DLL,C:\Windows\system32\winsrv.DLL,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb49880000,0xbd000,kernel32.dll,C:\Windows\SYSTEM32\kernel32.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48e20000,0x379000,kernelbase.dll,C:\Windows\SYSTEM32\kernelbase.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48c30000,0x24000,winsrvext.dll,C:\Windows\SYSTEM32\winsrvext.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb49330000,0x26000,win32u.dll,C:\Windows\system32\win32u.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb49d30000,0x29000,GDI32.dll,C:\Windows\system32\GDI32.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb491a0000,0x112000,gdi32full.dll,C:\Windows\SYSTEM32\gdi32full.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48cc0000,0x9d000,msvcp_win.dll,C:\Windows\system32\msvcp_win.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb494d0000,0x111000,ucrtbase.dll,C:\Windows\SYSTEM32\ucrtbase.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb496d0000,0x1ac000,USER32.dll,C:\Windows\system32\USER32.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48c20000,0xd000,-,-,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb48ab0000,0xa2000,-,-,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb4a910000,0xae000,ADVAPI32.dll,C:\Windows\system32\ADVAPI32.dll,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb4b6f0000,0xa3000,-,-,7/18/2022,11:09:59 PM,Disabled
496,csrss.exe,0x7ffb49c90000,0x9e000,-,-,7/18/2022,11:09:59 PM,Disabled
